period,value
2004-08-27,15834
2004-08-27,19817
2004-08-27,14384
2004-08-27,72040
2004-09-03,15262
2004-09-03,71090
2004-09-03,19467
2004-09-03,14277
2004-09-10,14993
2004-09-10,14034
2004-09-10,18708
2004-09-10,69814
2004-09-17,68982
2004-09-17,18835
2004-09-17,13820
2004-09-17,14166
2004-09-24,69486
2004-09-24,19937
2004-09-24,13486
2004-09-24,14323
2004-10-01,19207
2004-10-01,68917
2004-10-01,12596
2004-10-01,13613
2004-10-08,13507
2004-10-08,18832
2004-10-08,69618
2004-10-08,13962
2004-10-15,69487
2004-10-15,13591
2004-10-15,19809
2004-10-15,12770
2004-10-22,67710
2004-10-22,12213
2004-10-22,13680
2004-10-22,19166
2004-10-29,13189
2004-10-29,19324
2004-10-29,67665
2004-10-29,13220
2004-11-05,14064
2004-11-05,19030
2004-11-05,66435
2004-11-05,12304
2004-11-12,13500
2004-11-12,18861
2004-11-12,66951
2004-11-12,14354
2004-11-19,10985
2004-11-19,20092
2004-11-19,65922
2004-11-19,13461
2004-11-26,67955
2004-11-26,20123
2004-11-26,14016
2004-11-26,12255
2004-12-03,69149
2004-12-03,20918
2004-12-03,14694
2004-12-03,12845
2004-12-10,69634
2004-12-10,12567
2004-12-10,14335
2004-12-10,21140
2004-12-17,14679
2004-12-17,70469
2004-12-17,20690
2004-12-17,12554
2004-12-24,13601
2004-12-24,13694
2004-12-24,69353
2004-12-24,19697
2004-12-31,13371
2004-12-31,70543
2004-12-31,14168
2004-12-31,20096
2005-01-07,13780
2005-01-07,20222
2005-01-07,71361
2005-01-07,13835
2005-01-14,73085
2005-01-14,13994
2005-01-14,13825
2005-01-14,20447
2005-01-21,19727
2005-01-21,71630
2005-01-21,13965
2005-01-21,13038
2005-01-28,13563
2005-01-28,14042
2005-01-28,72768
2005-01-28,21041
2005-02-04,72674
2005-02-04,14500
2005-02-04,12385
2005-02-04,22040
2005-02-11,14929
2005-02-11,75596
2005-02-11,12896
2005-02-11,23057
2005-02-18,23991
2005-02-18,76869
2005-02-18,13863
2005-02-18,14980
2005-02-25,13414
2005-02-25,15744
2005-02-25,77463
2005-02-25,23827
2005-03-04,23077
2005-03-04,78020
2005-03-04,13924
2005-03-04,17105
2005-03-11,16576
2005-03-11,78583
2005-03-11,14108
2005-03-11,23950
2005-03-18,14024
2005-03-18,15380
2005-03-18,77178
2005-03-18,23586
2005-03-25,77169
2005-03-25,14300
2005-03-25,15008
2005-03-25,24142
2005-04-01,74692
2005-04-01,15610
2005-04-01,14500
2005-04-01,23010
2005-04-08,15024
2005-04-08,16449
2005-04-08,75734
2005-04-08,22779
2005-04-15,15645
2005-04-15,21919
2005-04-15,73676
2005-04-15,15479
2005-04-22,15488
2005-04-22,21377
2005-04-22,73158
2005-04-22,15733
2005-04-29,16542
2005-04-29,15640
2005-04-29,74021
2005-04-29,20761
2005-05-06,15736
2005-05-06,72985
2005-05-06,19653
2005-05-06,16061
2005-05-13,19260
2005-05-13,16154
2005-05-13,72132
2005-05-13,15378
2005-05-20,72060
2005-05-20,19122
2005-05-20,16040
2005-05-20,16117
2005-05-27,20016
2005-05-27,16150
2005-05-27,72351
2005-05-27,14493
2005-06-03,15893
2005-06-03,73858
2005-06-03,14834
2005-06-03,21258
2005-06-10,15746
2005-06-10,74561
2005-06-10,16103
2005-06-10,20427
2005-06-17,75475
2005-06-17,21860
2005-06-17,15655
2005-06-17,15163
2005-06-24,74264
2005-06-24,20701
2005-06-24,14542
2005-06-24,16154
2005-07-01,74093
2005-07-01,14512
2005-07-01,22663
2005-07-01,14458
2005-07-08,13249
2005-07-08,21676
2005-07-08,71902
2005-07-08,14681
2005-07-15,14520
2005-07-15,15860
2005-07-15,74389
2005-07-15,20984
2005-07-22,15469
2005-07-22,19887
2005-07-22,73636
2005-07-22,16356
2005-07-29,14821
2005-07-29,72921
2005-07-29,16810
2005-07-29,19636
2005-08-05,72548
2005-08-05,15216
2005-08-05,19104
2005-08-05,16464
2005-08-12,13939
2005-08-12,19074
2005-08-12,15825
2005-08-12,70538
2005-08-19,19040
2005-08-19,14998
2005-08-19,68949
2005-08-19,13512
2005-08-26,18681
2005-08-26,68919
2005-08-26,15239
2005-08-26,13830
2005-09-02,14392
